rate,min_range,status,year,max_range
0.1,0.0,married,2013,17488.09268
0.15,17488.09268,married,2013,71030.06829
0.25,71030.06829,married,2013,143431.7517
0.28,143431.7517,married,2013,218527.6791
0.33,218527.6791,married,2013,390273.4856
0.35,390273.4856,married,2013,440876.286
0.396,440876.286,married,2013,
0.1,0.0,married_sep,2013,8744.046338
0.15,8744.046338,married_sep,2013,35515.03415
0.25,35515.03415,married_sep,2013,71715.87585
0.28,71715.87585,married_sep,2013,109263.8395
0.33,109263.8395,married_sep,2013,195136.7428
0.35,195136.7428,married_sep,2013,220438.143
0.396,220438.143,married_sep,2013,
0.1,0.0,single,2013,8744.046338
0.15,8744.046338,single,2013,35515.03415
0.25,35515.03415,single,2013,86068.84827
0.28,86068.84827,single,2013,179534.6209
0.33,179534.6209,single,2013,390273.4856
0.35,390273.4856,single,2013,391890.032
0.396,391890.032,single,2013,
0.1,0.0,head,2013,12491.49477
0.15,12491.49477,head,2013,47614.63888
0.25,47614.63888,head,2013,122906.5113
0.28,122906.5113,head,2013,199031.15
0.33,199031.15,head,2013,390273.4856
0.35,390273.4856,head,2013,416383.159
0.396,416383.159,head,2013,
0.1,0.0,married,2012,17400.0
0.15,17400.0,married,2012,70700.0
0.25,70700.0,married,2012,142700.0
0.28,142700.0,married,2012,217450.0
0.33,217450.0,married,2012,388350.0
0.35,388350.0,married,2012,
0.1,0.0,married_sep,2012,8700.0
0.15,8700.0,married_sep,2012,35350.0
0.25,35350.0,married_sep,2012,71350.0
0.28,71350.0,married_sep,2012,108725.0
0.33,108725.0,married_sep,2012,194175.0
0.35,194175.0,married_sep,2012,
0.1,0.0,single,2012,8700.0
0.15,8700.0,single,2012,35350.0
0.25,35350.0,single,2012,85650.0
0.28,85650.0,single,2012,178650.0
0.33,178650.0,single,2012,388350.0
0.35,388350.0,single,2012,
0.1,0.0,head,2012,12400.0
0.15,12400.0,head,2012,47350.0
0.25,47350.0,head,2012,122300.0
0.28,122300.0,head,2012,198050.0
0.33,198050.0,head,2012,388350.0
0.35,388350.0,head,2012,
0.1,0.0,married,2011,17351.80649
0.15,17351.80649,married,2011,70427.92046
0.25,70427.92046,married,2011,142233.7785
0.28,142233.7785,married,2011,216693.4422
0.33,216693.4422,married,2011,386996.3194
0.35,386996.3194,married,2011,
0.1,0.0,married_sep,2011,8675.903245
0.15,8675.903245,married_sep,2011,35213.96023
0.25,35213.96023,married_sep,2011,71116.88925
0.28,71116.88925,married_sep,2011,108346.7211
0.33,108346.7211,married_sep,2011,193498.1597
0.35,193498.1597,married_sep,2011,
0.1,0.0,single,2011,8675.903245
0.15,8675.903245,single,2011,35213.96023
0.25,35213.96023,single,2011,85330.06015
0.28,85330.06015,single,2011,178009.1207
0.33,178009.1207,single,2011,386996.3194
0.35,386996.3194,single,2011,
0.1,0.0,head,2011,12401.43817
0.15,12401.43817,head,2011,47207.1206
0.25,47207.1206,head,2011,121870.9232
0.28,121870.9232,head,2011,197351.2815
0.33,197351.2815,head,2011,386996.3194
0.35,386996.3194,head,2011,
0.1,0.0,married,2010,17636.29297
0.15,17636.29297,married,2010,71598.0849
0.25,71598.0849,married,2010,144564.9567
0.28,144564.9567,married,2010,220322.048
0.33,220322.048,married,2010,393420.9474
0.35,393420.9474,married,2010,
0.1,0.0,married_sep,2010,8818.146485
0.15,8818.146485,married_sep,2010,35799.04245
0.25,35799.04245,married_sep,2010,72282.47835
0.28,72282.47835,married_sep,2010,110161.024
0.33,110161.024,married_sep,2010,196710.4737
0.35,196710.4737,married_sep,2010,
0.1,0.0,single,2010,8818.146485
0.15,8818.146485,single,2010,35799.04245
0.25,35799.04245,single,2010,86760.03229
0.28,86760.03229,single,2010,180943.1013
0.33,180943.1013,single,2010,393420.9474
0.35,393420.9474,single,2010,
0.1,0.0,head,2010,12582.31051
0.15,12582.31051,head,2010,47960.18775
0.25,47960.18775,head,2010,123875.216
0.28,123875.216,head,2010,200632.5747
0.33,200632.5747,head,2010,393420.9474
0.35,393420.9474,head,2010,
0.1,0.0,married,2009,17872.06776
0.15,17872.06776,married,2009,72665.47309
0.25,72665.47309,married,2009,146668.6758
0.28,146668.6758,married,2009,223507.8653
0.33,223507.8653,married,2009,399125.0101
0.35,399125.0101,married,2009,
0.1,0.0,married_sep,2009,8936.033878
0.15,8936.033878,married_sep,2009,36332.73654
0.25,36332.73654,married_sep,2009,73334.3379
0.28,73334.3379,married_sep,2009,111753.9327
0.33,111753.9327,married_sep,2009,199562.5051
0.35,199562.5051,married_sep,2009,
0.1,0.0,single,2009,8936.033878
0.15,8936.033878,single,2009,36332.73654
0.25,36332.73654,single,2009,88022.60915
0.28,88022.60915,single,2009,183590.0134
0.33,183590.0134,single,2009,399125.0101
0.35,399125.0101,single,2009,
0.1,0.0,head,2009,12788.69519
0.15,12788.69519,head,2009,48693.35826
0.25,48693.35826,head,2009,125693.0753
0.28,125693.0753,head,2009,203548.9393
0.33,203548.9393,head,2009,399125.0101
0.35,399125.0101,head,2009,
0.1,0.0,married,2008,17115.33838
0.15,17115.33838,married,2008,69421.09214
0.25,69421.09214,married,2008,140175.1545
0.28,140175.1545,married,2008,213595.1575
0.33,213595.1575,married,2008,381442.7751
